Model,RMSE,MAE,Adjusted_RMSE,Adjusted_MAE,Precision@10,Recall@10,F1@10,NDCG@10,MAP@10,MRR@10,Diversity,Coverage,Novelty,PopularityBias,Dataset
CF,1.0394222866229255,0.82335411986244,0.5205961754160571,0.4123781174695337,0.08041237113402061,0.09756233315246411,0.07792433049595877,0.28658940671350785,0.05908396061746577,0.23440108001963672,0.7123764030314281,0.043112297269554505,10.15938573851781,0.3007460168697284,Small
CB,0.9243423342617767,0.7162082841156878,0.4629582126387495,0.3587139686251366,0.020618556701030927,0.015311928323946,0.013541847228866255,0.09426050624989211,0.011568483063328427,0.07620274914089346,0.84180552514496,0.045062615479367685,13.270621920116076,0.14081724461105918,Small
WeightedHybrid,1.3387203494439865,1.0515841256757121,0.6705000487689324,0.5266874503275053,0.05670103092783505,0.03632213671649834,0.03574671566588439,0.19449920721286185,0.034336385661557486,0.16374570446735395,0.6549307363923829,0.03767193594744406,10.70941197794352,0.25093908153701944,Small
FeatureCombination,1.5575450457039,1.2676556557986929,0.7800987185546402,0.634907192819063,0.011340206185567012,0.0057032548478547825,0.006555521996321979,0.0522367768345413,0.00438717067583047,0.03722794959908362,0.709695920921366,0.011188667624717718,11.227744990071153,0.20352764761012138,Small
MixedHybrid,1.354972045198348,1.0665163550716743,0.6786397344026072,0.5341662793020404,0.01752577319587629,0.015731817689269713,0.013737878993084644,0.06786950372981515,0.008276877761413845,0.048351333660612006,0.7093924480868751,0.0671320057483063,12.065207490603559,0.153945641986879,Small
CF,1.0656370325428508,0.8739961945552619,0.5352100311284632,0.4389595295669028,0.10436241610738256,0.05603752705391203,0.06109795408186592,0.3316240344230286,0.05999862398352331,0.2759933951209119,0.7570668910667842,0.18851403553953128,10.206558819432844,0.2723818962261585,1M
CB,1.0161827180401815,0.8119295015574641,0.5103718879370138,0.4077868922833385,0.015100671140939598,0.006290615585447502,0.007746056740630385,0.05847978537410098,0.005948386065835731,0.03914722488547992,0.8834773031387159,0.1488539788823075,12.199757243661525,0.162199263941787,1M
WeightedHybrid,1.390244493521118,1.1003373602582487,0.6982422494065228,0.552638069859821,0.074496644295302,0.046727445444239034,0.04510977561114427,0.25081808236552344,0.04028834203330848,0.1994207414509428,0.6534876428751992,0.13005408189544168,10.111162205930869,0.33734322972075725,1M
FeatureCombination,1.606100373536209,1.2672003937124057,0.8066546156570296,0.6364440625213964,0.03120805369127517,0.01659631506725506,0.01582303459212196,0.14212969657038765,0.019014594652178547,0.1249467348460637,0.6931282407856634,0.03064640741694566,10.402993165901583,0.26431796135077107,1M
MixedHybrid,1.406839113641908,1.1142544218764372,0.7065768013038227,0.5596278334983026,0.028523489932885907,0.02645062842462411,0.02045458497186986,0.1011761830740506,0.011328610489684315,0.0625,0.7435037139637546,0.2611382951326294,11.39448580086672,0.22031725540627603,1M
